"imdb_url","season","episode_number_relative","episode_number_absolute","title","airdate","rating","reviews_amount"
"https://www.imdb.com/title/tt0776642/?ref_=ttep_ep13","17","13","369","The Seemingly Never-Ending Story","2006-03-12","76","1600"
"https://www.imdb.com/title/tt0780424/?ref_=ttep_ep14","17","14","370","Bart Has Two Mommies","2006-03-19","70","1400"
"https://www.imdb.com/title/tt0701111/?ref_=ttep_ep15","17","15","371","Homer Simpson, This Is Your Wife","2006-03-26","65","1700"
"https://www.imdb.com/title/tt0787753/?ref_=ttep_ep16","17","16","372","Million Dollar Abie","2006-04-02","63","1500"
"https://www.imdb.com/title/tt0701146/?ref_=ttep_ep17","17","17","373","Kiss Kiss, Bang Bangalore","2006-04-09","72","1500"
"https://www.imdb.com/title/tt0795278/?ref_=ttep_ep18","17","18","374","The Wettest Stories Ever Told","2006-04-23","67","1400"
"https://www.imdb.com/title/tt0798764/?ref_=ttep_ep19","17","19","375","Girls Just Want to Have Sums","2006-04-30","71","1500"
"https://www.imdb.com/title/tt0800706/?ref_=ttep_ep20","17","20","376","Regarding Margie","2006-05-07","67","1400"
"https://www.imdb.com/title/tt0800707/?ref_=ttep_ep21","17","21","377","The Monkey Suit","2006-05-14","72","1400"
"https://www.imdb.com/title/tt0809050/?ref_=ttep_ep22","17","22","378","Homer and Marge Turn a Couple Play","2006-05-21","64","1400"
"https://www.imdb.com/title/tt0831239/?ref_=ttep_ep1","18","1","379","The Mook, the Chef, the Wife and Her Homer","2006-09-10","76","1700"
"https://www.imdb.com/title/tt0858309/?ref_=ttep_ep2","18","2","380","Jazzy & The Pussycats","2006-09-17","67","1600"
"https://www.imdb.com/title/tt0858310/?ref_=ttep_ep3","18","3","381","Please Homer, Don't Hammer 'Em","2006-09-24","68","1500"
"https://www.imdb.com/title/tt0831240/?ref_=ttep_ep4","18","4","382","Treehouse of Horror XVII","2006-11-05","68","1700"
"https://www.imdb.com/title/tt0864054/?ref_=ttep_ep5","18","5","383","G.I. (Annoyed Grunt)","2006-11-12","68","1500"
"https://www.imdb.com/title/tt0888356/?ref_=ttep_ep6","18","6","384","Moe'N'a Lisa","2006-11-19","67","1400"
"https://www.imdb.com/title/tt0888355/?ref_=ttep_ep7","18","7","385","Ice Cream of Margie (with the Light Blue Hair)","2006-11-26","69","1400"
"https://www.imdb.com/title/tt0905908/?ref_=ttep_ep8","18","8","386","The Haw-Hawed Couple","2006-12-10","72","1400"
"https://www.imdb.com/title/tt0893217/?ref_=ttep_ep9","18","9","387","Kill Gil, Vol. 1 & 2","2006-12-17","63","1500"
"https://www.imdb.com/title/tt0918024/?ref_=ttep_ep10","18","10","388","The Wife Aquatic","2007-01-07","66","1400"
"https://www.imdb.com/title/tt0918866/?ref_=ttep_ep11","18","11","389","Revenge Is a Dish Best Served Three Times","2007-01-28","70","1400"
"https://www.imdb.com/title/tt0918865/?ref_=ttep_ep12","18","12","390","Little Big Girl","2007-02-11","67","1500"
"https://www.imdb.com/title/tt0918868/?ref_=ttep_ep13","18","13","391","Springfield Up","2007-02-18","73","1500"
"https://www.imdb.com/title/tt0959423/?ref_=ttep_ep14","18","14","392","Yokel Chords","2007-03-04","68","1400"
"https://www.imdb.com/title/tt0918867/?ref_=ttep_ep15","18","15","393","Rome-old and Juli-eh","2007-03-11","63","1400"
"https://www.imdb.com/title/tt0918864/?ref_=ttep_ep16","18","16","394","Homerazzi","2007-03-25","71","1400"
"https://www.imdb.com/title/tt0988495/?ref_=ttep_ep17","18","17","395","Marge Gamer","2007-04-22","73","1600"
"https://www.imdb.com/title/tt1019219/?ref_=ttep_ep18","18","18","396","The Boys of Bummer","2007-04-29","60","1500"
"https://www.imdb.com/title/tt1017618/?ref_=ttep_ep19","18","19","397","Crook and Ladder","2007-05-06","69","1300"
"https://www.imdb.com/title/tt0918869/?ref_=ttep_ep20","18","20","398","Stop, or My Dog Will Shoot!","2007-05-13","68","1300"
"https://www.imdb.com/title/tt0907538/?ref_=ttep_ep21","18","21","399","24 Minutes","2007-05-20","81","2300"
"https://www.imdb.com/title/tt1023430/?ref_=ttep_ep22","18","22","400","You Kent Always Say What You Want","2007-05-20","72","1500"
"https://www.imdb.com/title/tt1103798/?ref_=ttep_ep1","19","1","401","He Loves to Fly and He D'ohs","2007-09-23","67","1500"
"https://www.imdb.com/title/tt1103799/?ref_=ttep_ep2","19","2","402","Homer of Seville","2007-09-30","65","1500"
"https://www.imdb.com/title/tt1112081/?ref_=ttep_ep3","19","3","403","Midnight Towboy","2007-10-07","71","1400"
"https://www.imdb.com/title/tt1111719/?ref_=ttep_ep4","19","4","404","I Don't Wanna Know Why the Caged Bird Sings","2007-10-14","67","1400"
"https://www.imdb.com/title/tt1112082/?ref_=ttep_ep5","19","5","405","Treehouse of Horror XVIII","2007-11-04","69","1600"
"https://www.imdb.com/title/tt1137310/?ref_=ttep_ep6","19","6","406","Little Orphan Millie","2007-11-11","66","1400"
"https://www.imdb.com/title/tt0992614/?ref_=ttep_ep7","19","7","407","Husbands and Knives","2007-11-18","69","1500"
"https://www.imdb.com/title/tt1137309/?ref_=ttep_ep8","19","8","408","Funeral for a Fiend","2007-11-25","71","1500"
"https://www.imdb.com/title/tt1147352/?ref_=ttep_ep9","19","9","409","Eternal Moonshine of the Simpson Mind","2007-12-16","82","2100"
"https://www.imdb.com/title/tt1157300/?ref_=ttep_ep10","19","10","410","E Pluribus Wiggum","2008-01-06","68","1400"
"https://www.imdb.com/title/tt1166961/?ref_=ttep_ep11","19","11","411","That '90s Show","2008-01-27","63","2000"
"https://www.imdb.com/title/tt1178426/?ref_=ttep_ep12","19","12","412","Love, Springfieldian Style","2008-02-17","65","1400"
"https://www.imdb.com/title/tt1188966/?ref_=ttep_ep13","19","13","413","The DeBarted","2008-03-02","76","1700"
"https://www.imdb.com/title/tt1191727/?ref_=ttep_ep14","19","14","414","Dial 'N' for Nerder","2008-03-09","74","1500"
"https://www.imdb.com/title/tt1206071/?ref_=ttep_ep15","19","15","415","Smoke on the Daughter","2008-03-30","66","1400"
"https://www.imdb.com/title/tt1211739/?ref_=ttep_ep16","19","16","416","Papa Don't Leech","2008-04-13","61","1300"
"https://www.imdb.com/title/tt1215758/?ref_=ttep_ep17","19","17","417","Apocalypse Cow","2008-04-27","68","1400"
"https://www.imdb.com/title/tt1225549/?ref_=ttep_ep18","19","18","418","Any Given Sundance","2008-05-04","70","1400"
"https://www.imdb.com/title/tt1225550/?ref_=ttep_ep19","19","19","419","Mona Leaves-a","2008-05-11","70","1400"
"https://www.imdb.com/title/tt1226562/?ref_=ttep_ep20","19","20","420","All About Lisa","2008-05-18","64","1300"
"https://www.imdb.com/title/tt1289258/?ref_=ttep_ep1","20","1","421","Sex, Pies and Idiot Scrapes","2008-09-28","72","1600"
"https://www.imdb.com/title/tt1291175/?ref_=ttep_ep2","20","2","422","Lost Verizon","2008-10-05","68","1500"
"https://www.imdb.com/title/tt1291174/?ref_=ttep_ep3","20","3","423","Double, Double, Boy in Trouble","2008-10-19","68","1400"
"https://www.imdb.com/title/tt1291168/?ref_=ttep_ep4","20","4","424","Treehouse of Horror XIX","2008-11-02","71","1700"
